Area_of_Origin,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Presence,Ignition_Source,Latitude,Longitude,Material_First_Ignited,Possible_Cause
Cooking Area or Kitchen,0,0,10000,0,No Fire alarm system,Oven,43.76267,-79.54017,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Basement/cellar (not partitioned),0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Salamander,43.73317,-79.53552,Wood,Used or Placed too close to combustibles
Engine Area,0,0,10000,0,Fire alarm system present,Vehicle - Electrical,43.70225,-79.44111,Vehicle,"Other unintentional cause, not classified"
Garage,0,0,10000,0,No Fire alarm system,"Hot Ashes, Embers, Spark",43.7393,-79.2584,"Rubbish, Trash, Waste",Improperly Discarded
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,10000,0,Fire alarm system present,Other Processing Equipment,43.6552,-79.44634,Wood,Unattended
Basement/cellar (not partitioned),0,0,10000,0,Fire alarm system present,"Cord, Cable for Appliance, Electrical Articles",43.70592,-79.24704,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Undetermined,"Stove, Range-top burner",43.65594,-79.45427,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Garage,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.70108,-79.48101,"Rubbish, Trash, Waste",Improperly Discarded
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,Other,43.62604,-79.50395,"Cooking Oil, Grease","Unintentional, cause undetermined"
"Product Storage (inc products or materials awaiting manuf, assembly)",0,0,10000,0,Fire alarm system present,Undetermined,43.63872,-79.44622,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.70328,-79.54957,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,10000,0,Fire alarm system present,Undetermined,43.71669,-79.5824,Insulation,Undetermined
Electrical Systems,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.69931,-79.47594,Vehicle,Electrical Failure
Electrical Systems,0,0,10000,0,Fire alarm system present,Vehicle - Electrical,43.69871,-79.33987,"Paper, Cardboard",Electrical Failure
Engine Area,0,0,10000,0,No Fire alarm system,Vehicle - Electrical,43.71137,-79.43273,Undetermined (formerly 98),"Unintentional, cause undetermined"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,10000,0,Fire alarm system present,Candle,43.82318,-79.22851,Cabinetry,Unattended
Roof,0,0,10000,0,No Fire alarm system,Undetermined,43.76059,-79.56607,Exterior Roof Covering,"Other unintentional cause, not classified"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,10000,0,No Fire alarm system,Circuit Wiring - Copper,43.68103,-79.29585,Insulation,Electrical Failure
Porch or Balcony,0,0,10000,0,No Fire alarm system,"Hot Ashes, Embers, Spark",43.74949,-79.50222,"Rubbish, Trash, Waste",Improperly Discarded
Exterior Wall,0,0,10000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.71108,-79.39932,Exterior Cladding,Improperly Discarded
"Living Area (e.g. living, TV, recreation, etc)",0,0,10000,0,Fire alarm system present,Other Electrical Distribution Item,43.70917,-79.40106,Electrical Wiring Insulation,Electrical Failure
Porch or Balcony,0,0,10000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.74479,-79.24472,"Upholstered Sofa, Chair, etc.","Unintentional, cause undetermined"
Other Outside Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.78032,-79.29059,Exterior Cladding,Undetermined
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.60967,-79.49027,"Cooking Oil, Grease",Unattended
Garage,1,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Electrical,43.66232,-79.49592,Structural Member,"Other unintentional cause, not classified"
"Ducting - Heating, Air Conditioning",0,0,10000,0,No Fire alarm system,Undetermined,43.6433,-79.39825,Insulation,Undetermined
Engine Area,0,0,10000,0,Fire alarm system present,Vehicle - Electrical,43.77583,-79.34372,Vehicle,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,No Fire alarm system,"Stove, Range-top burner",43.67648,-79.4578,"Cooking Oil, Grease",Unattended
Porch or Balcony,0,0,10000,0,No Fire alarm system,Open Fired Barbeque - Fixed or Portable,43.67973,-79.39167,Wood,Used or Placed too close to combustibles
Basement/cellar (not partitioned),0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.81796,-79.21676,Other,Unattended
Exterior Wall,0,0,10000,0,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.77576,-79.2619,"Rubbish, Trash, Waste",Improperly Discarded
"Product Storage (inc products or materials awaiting manuf, assembly)",0,0,10000,0,Fire alarm system present,"Incandescent Lamp - Light Bulb, Spotlight",43.61473,-79.53101,"Other Soft Goods, Wearing Apparel",Design/Construction/Installation/Maintenance Deficiency
Porch or Balcony,0,0,10000,0,Fire alarm system present,Undetermined,43.69643,-79.49016,"Rubbish, Trash, Waste","Unintentional, cause undetermined"
Porch or Balcony,0,0,10000,0,No Fire alarm system,Other Open Flame Tools/Smokers' Articles,43.66947,-79.43395,Floor,Improper handling of ignition source or ignited material
"Assembly Area (inc school room,spectator area, church, etc)",0,0,10000,0,Fire alarm system present,Candle,43.76059,-79.56607,"Rug, Carpet",Other misuse of ignition source/material ignited
Cooking Area or Kitchen,0,0,10000,0,No Fire alarm system,"Stove, Range-top burner",43.74538,-79.29473,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,10000,0,Undetermined,"Stove, Range-top burner",43.74748,-79.20686,"Cooking Oil, Grease",Unattended
Laundry Area,0,0,10000,0,Fire alarm system present,Clothes Dryer,43.64445,-79.4001,Linen Other than Bedding,"Other unintentional cause, not classified"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Cord, Cable for Appliance, Electrical Articles",43.66725,-79.55039,Electrical Wiring Insulation,Electrical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,0,10000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.68228,-79.33272,Other Furniture,Improperly Discarded
Roof,0,0,10000,0,Fire alarm system present,Other Mechanical,43.76404,-79.55968,Other Furniture,"Other unintentional cause, not classified"
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,10000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.65335,-79.39616,"Rubbish, Trash, Waste",Undetermined
Garage,0,0,10000,0,Undetermined,Other Electrical Distribution Item,43.66712,-79.34254,Vehicle,Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.79772,-79.23622,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.76459,-79.20587,Undetermined (formerly 98),Unattended
Electrical Systems,0,0,10000,0,Fire alarm system present,Transformer,43.66395,-79.41857,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Undetermined,"Stove, Range-top burner",43.77443,-79.19495,"Cooking Oil, Grease",Unattended
Mechanical/Electrical Services Room,0,0,10000,0,Fire alarm system present,Undetermined,43.70444,-79.55008,Electrical Wiring Insulation,Electrical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Cord, Cable for Appliance, Electrical Articles",43.67333,-79.36883,Bedding,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.75258,-79.28323,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
Porch or Balcony,0,0,10000,0,Fire alarm system present,"Blow Torch, Bunsen Burner",43.65073,-79.50509,Structural Member,Improper handling of ignition source or ignited material
Engine Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.77002,-79.15968,Electrical Wiring Insulation,Electrical Failure
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,10000,0,Fire alarm system present,Other,43.80453,-79.29556,"Rubbish, Trash, Waste",Design/Construction/Installation/Maintenance Deficiency
Engine Area,0,0,10000,0,Fire alarm system present,Vehicle - Electrical,43.75202,-79.48817,Vehicle,Electrical Failure
Mechanical/Electrical Services Room,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Heat Treatment Equipment (eg. furnace, oven, kiln, quench tanks,",43.69196,-79.41686,Electrical Wiring Insulation,Electrical Failure
Attached Deck,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Open Fired Barbeque - Fixed or Portable,43.75599,-79.17642,Wood,"Other unintentional cause, not classified"
Garage,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Blow Torch, Bunsen Burner",43.68987,-79.49349,Exterior Roof Covering,Improper handling of ignition source or ignited material
Other - unclassified,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.67417,-79.29192,Wood,Undetermined
Chimney/Flue Pipe,0,0,10000,0,No Fire alarm system,Open Fired Barbeque - Fixed or Portable,43.68427,-79.46743,Multiple Objects or Materials,Design/Construction/Installation/Maintenance Deficiency
Engine Area,0,0,10000,0,Fire alarm system present,Vehicle - Electrical,43.67178,-79.47112,Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.79835,-79.23712,"Cooking Oil, Grease",Unattended
Mechanical/Electrical Services Room,0,0,10000,0,Fire alarm system present,Cutting/Welding Equipment,43.66961,-79.3945,"Rubbish, Trash, Waste","Other unintentional cause, not classified"
Garage,1,0,10000,0,No Fire alarm system,Undetermined,43.70865,-79.46855,"Rubbish, Trash, Waste",Undetermined
Roof,0,0,10000,0,No Fire alarm system,Undetermined,43.6762,-79.49571,Undetermined (formerly 98),"Unintentional, cause undetermined"
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,10000,0,No Fire alarm system,Wood burning stove,43.766,-79.55396,"Books, Magazines, Newspapers",Design/Construction/Installation/Maintenance Deficiency
Garage,0,0,10000,0,No Fire alarm system,Cutting/Welding Equipment,43.69149,-79.50094,"Other Flammable, Combustible Liquid","Other unintentional cause, not classified"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,10000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.64204,-79.41197,"Mattress, Pillow",Improperly Discarded
Cooking Area or Kitchen,0,0,10000,0,No Fire alarm system,"Refrigerator, Freezer (includes vending machine)",43.68337,-79.32364,Undetermined (formerly 98),Undetermined
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,10000,0,Fire alarm system present,"Chemical Reaction (eg. spontaneous combustion, etc.)",43.61183,-79.54381,"Oily rags (inc. paint rags, etc)",Improper Storage
Other Structural Area,0,0,10000,0,No Fire alarm system,"Cord, Cable for Appliance, Electrical Articles",43.65294,-79.39805,Interior Wall/Ceiling,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,Other Appliances,43.64915,-79.51067,Other,Electrical Failure
Electronic Equipment,0,0,10000,0,No Fire alarm system,"Extension Cord, Temporary Wiring",43.641,-79.38069,Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.65335,-79.40157,"Cooking Oil, Grease",Unattended
Roof,0,0,10000,0,Fire alarm system present,Flue Pipe,43.70821,-79.39868,Exterior Roof Covering,Design/Construction/Installation/Maintenance Deficiency
Mechanical/Electrical Services Room,0,0,10000,0,Undetermined,Transformer,43.74562,-79.37344,Other,Electrical Failure
Electronic Equipment,0,0,10000,0,Fire alarm system present,Other Electrical,43.65117,-79.38133,Plastic,Electrical Failure
Porch or Balcony,0,0,10000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.66584,-79.38495,"Bush, Grass, Tree, Leaves, etc.",Improperly Discarded
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,Other Appliances,43.65451,-79.40204,Electrical Wiring Insulation,Electrical Failure
Engine Area,0,0,10000,0,Undetermined,Vehicle - Electrical,43.72753,-79.5237,Vehicle,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.76261,-79.52146,"Cooking Oil, Grease",Unattended
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,10000,0,No Fire alarm system,Other Processing Equipment,43.64531,-79.35248,Undetermined (formerly 98),Mechanical Failure
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,10000,0,Fire alarm system present,Undetermined,43.68236,-79.32827,Interior Wall/Ceiling,"Unintentional, cause undetermined"
Shipping/Receiving/Loading Platform,0,0,10000,0,No Fire alarm system,Undetermined,43.78194,-79.47817,"Paper, Cardboard",Undetermined
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.78893,-79.30621,"Cooking Oil, Grease","Other unintentional cause, not classified"
Mechanical/Electrical Services Room,0,0,10000,0,Fire alarm system present,Meter,43.65814,-79.34018,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,Microwave,43.61906,-79.49959,Other,Undetermined
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other,43.78201,-79.26252,"Rubbish, Trash, Waste",Improperly Discarded
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,10000,0,Fire alarm system present,Rekindle,43.74949,-79.53279,Other,Rekindle
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.7512,-79.3596,"Rubbish, Trash, Waste",Improperly Discarded
Mechanical/Electrical Services Room,0,0,10000,0,Fire alarm system present,Other Electrical Distribution Item,43.74326,-79.58212,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.72729,-79.54936,"Cooking Oil, Grease",Unattended
Porch or Balcony,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Terminations-Copper (incl receptacles, switches, lights)",43.6029,-79.54914,"Upholstered Sofa, Chair, etc.",Electrical Failure
"Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",0,0,10000,0,Undetermined,Oven,43.59258,-79.5418,Other,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,10000,0,No Fire alarm system,"Stove, Range-top burner",43.82401,-79.21449,"Cooking Oil, Grease",Unattended
Roof,0,0,10000,0,No Fire alarm system,"Blow Torch, Bunsen Burner",43.67895,-79.34484,Exterior Roof Covering,Improper handling of ignition source or ignited material
Engine Area,1,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Mechanical,43.77511,-79.34704,Vehicle,Vehicle Accident/Collision
Laundry Area,0,0,10000,0,Fire alarm system present,Clothes Dryer,43.6181,-79.48692,"Other Soft Goods, Wearing Apparel",Undetermined
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,10000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.77583,-79.33775,"Rubbish, Trash, Waste",Improperly Discarded
Roof,0,0,10000,0,Undetermined,Cutting/Welding Equipment,43.76765,-79.18961,Insulation,Improper handling of ignition source or ignited material
Engine Area,0,0,10000,0,Undetermined,Vehicle - Mechanical,43.76044,-79.4039,Vehicle,Mechanical Failure
Engine Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Mechanical,43.6582,-79.3569,Undetermined (formerly 98),"Unintentional, cause undetermined"
Engine Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.76712,-79.4226,Electrical Wiring Insulation,Electrical Failure
Garage,0,0,10000,0,Fire alarm system present,Other,43.69044,-79.28669,Exterior Cladding,Unattended
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.71787,-79.45437,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,10000,0,Undetermined,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.71445,-79.36514,Cabinetry,"Unintentional, cause undetermined"
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Circuit Wiring - Copper,43.81791,-79.21102,Electrical Wiring Insulation,Electrical Failure
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,10000,0,Undetermined,"Hot Ashes, Embers, Spark",43.81611,-79.29018,"Rubbish, Trash, Waste",Improperly Discarded
Exterior Wall,0,0,10000,0,No Fire alarm system,Wood burning stove,43.68379,-79.40291,Multiple Objects or Materials,Unattended
Engine Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.73355,-79.62,Undetermined (formerly 98),Mechanical Failure
"Court, Patio, Terrace",0,0,10000,0,No Fire alarm system,Other Electrical Distribution Item,43.72285,-79.55994,Electrical Wiring Insulation,"Other unintentional cause, not classified"
"Closet (eg. clothes, broom, linen closet, etc.)",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Incandescent Lamp - Light Bulb, Spotlight",43.70357,-79.36439,"Other Soft Goods, Wearing Apparel",Unattended
"Fuel Systems (eg. fuel tank, etc.)",1,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Mechanical,43.77321,-79.30052,Vehicle,"Unintentional, cause undetermined"
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Electrical,43.79472,-79.18297,Electrical Wiring Insulation,Electrical Failure
Engine Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.71702,-79.57249,Undetermined (formerly 98),Electrical Failure
Cooking Area or Kitchen,1,0,10000,0,Fire alarm system present,"Cord, Cable for Appliance, Electrical Articles",43.68656,-79.41319,Cabinetry,Electrical Failure
Other Functional Area,0,0,10000,0,Undetermined,Undetermined,43.82725,-79.2347,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
Attached Deck,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.66598,-79.36465,Wood,Undetermined
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.70817,-79.5146,"Paper, Cardboard","Other unintentional cause, not classified"
Mechanical/Electrical Services Room,0,0,10000,0,Fire alarm system present,"Distribution Equipment (includes panel boards, fuses, circuit br",43.72318,-79.52341,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,1,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Oven,43.68014,-79.48712,Undetermined (formerly 98),"Other unintentional cause, not classified"
Storage Area (outside),0,0,10000,0,Undetermined,Undetermined,43.76783,-79.47148,Wood,"Unintentional, cause undetermined"
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,10000,0,Fire alarm system present,Cutting/Welding Equipment,43.81898,-79.23739,"Other chemicals, materials not classified above",Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,10000,0,No Fire alarm system,"Stove, Range-top burner",43.71336,-79.43677,"Cooking Oil, Grease",Unattended
Engine Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.68313,-79.2861,Vehicle,Electrical Failure
Garage,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.66316,-79.44041,Interior Wall/Ceiling,Undetermined
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Range Hood,43.77989,-79.39501,Other,"Unintentional, cause undetermined"
"Open Area (inc lawn, field, farmyard, park, playing field, pier,",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Chemical Reaction (eg. spontaneous combustion, etc.)",43.68249,-79.40668,"Bush, Grass, Tree, Leaves, etc.",Natural Cause
Cooking Area or Kitchen,0,0,10000,0,Undetermined,"Stove, Range-top burner",43.79703,-79.32086,Undetermined (formerly 98),Unattended
Engine Area,0,0,10000,0,Fire alarm system present,Vehicle - Mechanical,43.68656,-79.59942,Other,Unattended
Exterior Wall,0,0,10000,0,Undetermined,Other Electrical Distribution Item,43.68721,-79.41996,Undetermined (formerly 98),Design/Construction/Installation/Maintenance Deficiency
"Parking Area, Parking Lot",0,0,10000,0,Fire alarm system present,Other Mechanical,43.7035,-79.52639,Diesel Fuel/Fuel Oil,Mechanical Failure
"Living Area (e.g. living, TV, recreation, etc)",0,0,10000,0,No Fire alarm system,Fireplace - Factory Built,43.69429,-79.53191,Wood,Design/Construction/Installation/Maintenance Deficiency
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Cutting/Welding Equipment,43.70442,-79.32881,Insulation,Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.67815,-79.53509,"Cooking Oil, Grease",Unattended
Shipping/Receiving/Loading Platform,0,0,10000,0,Fire alarm system present,Vehicle - Electrical,43.79548,-79.41942,"Paper, Cardboard",Mechanical Failure
Cooking Area or Kitchen,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.74093,-79.50715,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,10000,0,Undetermined,"Stove, Range-top burner",43.82191,-79.22217,"Cooking Oil, Grease",Undetermined
Engine Area,0,0,10000,0,Undetermined,Vehicle - Electrical,43.74376,-79.3022,Vehicle,Electrical Failure
"HVAC Equipment Room (furnace room, water heater closet, boiler)",0,0,10000,0,Undetermined,Central Heating/Cooling Unit,43.75098,-79.58583,Electrical Wiring Insulation,Electrical Failure
Engine Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.7437,-79.60731,Vehicle,Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,No Fire alarm system,"Stove, Range-top burner",43.79772,-79.23622,"Cooking Oil, Grease",Unattended
Engine Area,0,0,10000,0,Undetermined,Undetermined,43.80627,-79.21358,Undetermined (formerly 98),Undetermined
Concealed Floor Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Fireplace - Masonry,43.68333,-79.4318,Floor,"Other unintentional cause, not classified"
Garage,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Hot Ashes, Embers, Spark",43.77478,-79.13918,Interior Wall/Ceiling,Improper handling of ignition source or ignited material
"Open Area (inc lawn, field, farmyard, park, playing field, pier,",0,0,10000,0,Undetermined,Matches or Lighters (unable to distinguish),43.81461,-79.21911,Plastic,Undetermined
Shipping/Receiving/Loading Platform,0,0,10000,0,Undetermined,Other Electrical Distribution Item,43.75848,-79.53895,Plastic,Improper Storage
Garage,0,0,10000,0,No Fire alarm system,Undetermined,43.69012,-79.26721,Interior Wall/Ceiling,"Other unintentional cause, not classified"
Electrical Systems,0,0,10000,0,Fire alarm system present,Vehicle - Electrical,43.71662,-79.48993,Undetermined (formerly 98),Electrical Failure
Engine Area,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.7491,-79.27268,Gasoline,"Other unintentional cause, not classified"
Cooking Area or Kitchen,1,0,10000,0,No Fire alarm system,"Stove, Range-top burner",43.7062,-79.52094,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.71476,-79.58524,"Rubbish, Trash, Waste","Other unintentional cause, not classified"
Electrical Systems,0,0,10000,0,Fire alarm system present,"Refrigerator, Freezer (includes vending machine)",43.69718,-79.45098,Insulation,Electrical Failure
"Supply Storage Room (inc maintenance/office/document storage, et",0,0,10000,0,Fire alarm system present,Undetermined,43.7727,-79.48051,Electrical Wiring Insulation,Electrical Failure
Mechanical/Electrical Services Room,0,0,10000,0,Fire alarm system present,"Distribution Equipment (includes panel boards, fuses, circuit br",43.6482,-79.38868,Electrical Wiring Insulation,Electrical Failure
Other Outside Area,0,0,10000,0,Undetermined,Other Lighting Equipment,43.75935,-79.27868,Other,Electrical Failure
Chimney/Flue Pipe,0,0,10000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Wood burning stove,43.66271,-79.45123,"Creosote (chimney, flue pipe)","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Concealed Wall Area,0,0,10000,0,No Fire alarm system,Undetermined,43.67555,-79.39694,Insulation,Undetermined
Engine Area,0,0,10000,0,Undetermined,Undetermined,43.71332,-79.55969,Vehicle,"Unintentional, cause undetermined"
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,10000,0,Fire alarm system present,Undetermined,43.81972,-79.24859,Multiple diverse objects ignited,Undetermined
"Process Manufacturing (inc manf, prod assembly, repair)",0,0,10000,0,Fire alarm system present,Circuit Wiring - Copper,43.7339,-79.28599,Electrical Wiring Insulation,Electrical Failure
Mechanical/Electrical Services Room,0,0,10000,0,Undetermined,Other Electrical Distribution Item,43.70412,-79.46023,Electrical Wiring Insulation,Undetermined
Other Storage Area,0,0,10000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.78054,-79.24703,"Upholstered Sofa, Chair, etc.",Improperly Discarded
Engine Area,0,0,10000,0,Undetermined,Vehicle - Mechanical,43.68231,-79.51885,Vehicle,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
"Trash, rubbish area (outside)",0,0,10000,0,Undetermined,Undetermined,43.69151,-79.59771,"Paper, Cardboard",Undetermined
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.63826,-79.47105,"Rubbish, Trash, Waste","Unintentional, cause undetermined"
Engine Area,0,0,10000,0,Fire alarm system present,Vehicle - Mechanical,43.76987,-79.50738,Vehicle,Mechanical Failure
Electrical Systems,0,0,10000,0,Undetermined,Vehicle - Electrical,43.76345,-79.23753,Undetermined (formerly 98),Electrical Failure
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.66188,-79.37937,Undetermined (formerly 98),"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,10000,0,Fire alarm system present,"Stove, Range-top burner",43.68276,-79.56976,Cabinetry,Unattended
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,10000,0,Fire alarm system present,Other Electrical,43.66296,-79.57364,Electrical Wiring Insulation,Electrical Failure
